passage_id,version,model,surprisal
12,A,pythia-12b-deduped,2.18137083761394
12,A,LLaMa-3.1-8B,1.9320616540499032
12,A,Mistral-24B,1.9600791931152344
12,C,GPT2,2.3842907287180424
12,C,Mistral-7B,2.5020523071289062
12,C,pythia-12b-deduped,2.301429582759738
12,C,LLaMa-3.1-8B,2.073399921413511
12,C,Mistral-24B,1.9691505432128904
12,B,GPT2,2.3227474292119346
12,B,Mistral-7B,1.2815416124131944
12,B,pythia-12b-deduped,1.639471770160728
12,B,LLaMa-3.1-8B,1.1888231225311756
12,B,Mistral-24B,1.5957285563151042
12,D,GPT2,2.401659411688646
12,D,Mistral-7B,1.2713724772135415
12,D,pythia-12b-deduped,1.748217910528183
12,D,LLaMa-3.1-8B,1.2851122799846861
12,D,Mistral-24B,1.5715518527560763
13,A,GPT2,2.8387677911669016
13,A,Mistral-7B,1.6735363006591797
13,A,pythia-12b-deduped,2.650078545867776
13,A,LLaMa-3.1-8B,2.130204485496506
13,A,Mistral-24B,1.9406909942626955
13,C,GPT2,2.944720103715857
13,C,Mistral-7B,1.6999835968017578
13,C,pythia-12b-deduped,2.6030385034779706
13,C,LLaMa-3.1-8B,2.22313388363303
13,C,Mistral-24B,1.9560616811116536
13,B,GPT2,2.017557607963681
13,B,Mistral-7B,1.0687580108642578
13,B,pythia-12b-deduped,1.5104857149223487
13,B,LLaMa-3.1-8B,1.3472310868479933
13,B,Mistral-24B,1.403958002726237
13,D,GPT2,1.9749653333177168
13,D,Mistral-7B,1.0869274139404297
13,D,pythia-12b-deduped,1.5844886609508346
13,D,LLaMa-3.1-8B,1.3484480745003868
13,D,Mistral-24B,1.451962153116862
14,A,GPT2,2.745872414112091
14,A,Mistral-7B,2.614990234375
14,A,pythia-12b-deduped,2.750790816545486
14,A,LLaMa-3.1-8B,2.7615666031837462
14,A,Mistral-24B,1.7154296875
14,C,GPT2,2.729408347606659
14,C,Mistral-7B,2.6583984375
14,C,pythia-12b-deduped,2.739027905464172
14,C,LLaMa-3.1-8B,2.782789444923401
14,C,Mistral-24B,1.643310546875
14,B,GPT2,3.4561296701431274
14,B,Mistral-7B,3.8953369140625
14,B,pythia-12b-deduped,4.050010785460472
14,B,LLaMa-3.1-8B,3.8242247506976126
14,B,Mistral-24B,3.4607421875
14,D,GPT2,3.383982002735138
14,D,Mistral-7B,3.79381103515625
14,D,pythia-12b-deduped,4.047187802195549
14,D,LLaMa-3.1-8B,3.8453571662306785
14,D,Mistral-24B,3.48753662109375
15,A,GPT2,1.7069518249481916
15,A,Mistral-7B,1.431250678168403
15,A,pythia-12b-deduped,0.9081089668907224
15,A,LLaMa-3.1-8B,0.9735784251242876
15,A,Mistral-24B,0.9092140197753906
15,C,GPT2,1.6965428963303566
15,C,Mistral-7B,1.4694976806640625
15,C,pythia-12b-deduped,0.9203148456290364
15,C,LLaMa-3.1-8B,0.9846821306273341
15,C,Mistral-24B,0.8684463500976562
15,B,GPT2,3.2131538816860745
15,B,Mistral-7B,2.773768833705357
